Circles: 10
# ID : center_x center_y radius
0 : 6.611384 7.525926 0.173521
1 : 1.148962 0.601313 0.143971
2 : 1.492124 8.132848 0.181542
3 : 8.976073 0.848958 0.176454
4 : 7.740929 1.793781 0.171052
5 : 4.427329 0.124393 0.060151
6 : 3.721998 5.614679 0.138718
7 : 5.44361 0.756278 0.06149
8 : 4.303707 2.409544 0.15813
9 : 6.529831 6.875642 0.183713
Lines: 5
# ID : x1 y1 x2 y2
10 : 0.512545 4.342752 8.629084 9.015582
11 : 4.881249 9.14956 6.661281 6.148393
12 : 6.039642 8.260521 4.579866 3.800423
13 : 3.716372 1.064156 5.265213 2.434065
14 : 9.339508 9.115487 3.994494 5.460165
Boxes: 15000
# ID : center_x center_y width height
15 : 8.986914 3.064991 0.033141 0.028522
16 : 0.933265 5.377061 0.025893 0.065534
17 : 6.251563 0.017536 0.043038 0.038023
18 : 3.631335 1.853377 0.077945 0.04639
19 : 1.814835 1.936584 0.067152 0.029247
20 : 1.277597 2.565383 0.054794 0.019104
21 : 9.225513 3.199475 0.034966 0.028737
22 : 6.682703 6.185641 0.02443 0.048206
23 : 2.463753 8.299819 0.045427 0.074738
24 : 6.721778 2.921408 0.010705 0.034755
25 : 7.300373 7.373906 0.032713 0.038057
26 : 4.26994 4.876621 0.019543 0.037302
27 : 2.40715 6.964956 0.010109 0.019916
28 : 7.830314 4.084065 0.016157 0.023436
29 : 9.120914 5.211689 0.029951 0.024936
30 : 0.804073 4.062358 0.052337 0.017771
31 : 8.32728 6.60299 0.055162 0.04605
32 : 4.969788 7.234828 0.050281 0.04408
33 : 5.873719 9.604236 0.068839 0.033801
34 : 5.567509 3.120382 0.0398 0.071863
35 : 2.259451 4.586432 0.039159 0.011004
36 : 0.636153 1.830558 0.053301 0.052681
37 : 8.179959 0.572356 0.077104 0.064583
38 : 4.31113 7.159914 0.056671 0.05525
39 : 5.315969 5.486714 0.04642 0.036348
40 : 2.499786 3.900516 0.051785 0.054725
41 : 3.777951 6.024088 0.057869 0.033504
42 : 3.23658 7.195269 0.01616 0.014783
43 : 3.820699 4.495429 0.042769 0.076909
44 : 9.111332 4.153149 0.023786 0.013027
45 : 8.085226 8.394342 0.035977 0.022844
46 : 8.473436 3.039134 0.071138 0.018661
47 : 6.225657 4.615796 0.063723 0.010136
48 : 6.783083 3.275287 0.064177 0.066419
49 : 1.835304 5.951453 0.052562 0.024443
50 : 6.851907 9.993332 0.065501 0.068346
51 : 8.467764 7.705896 0.030933 0.010977
52 : 5.209193 0.913861 0.074801 0.066966
53 : 5.300968 3.376898 0.048733 0.064242
54 : 5.424653 2.141498 0.025154 0.03998
55 : 2.905885 9.211406 0.052641 0.015536
56 : 1.167283 8.526446 0.037846 0.065885
57 : 0.353819 6.635569 0.038068 0.017313
58 : 8.803637 2.731116 0.023066 0.026821
59 : 8.237303 4.352085 0.048496 0.07135
60 : 1.950368 9.83681 0.060889 0.042665
61 : 9.859014 0.449781 0.076256 0.079734
62 : 0.327205 9.330939 0.045622 0.077161
63 : 4.729246 4.444662 0.020094 0.055632
64 : 3.275828 6.84221 0.059213 0.018914
65 : 2.746891 6.998817 0.073796 0.034529
66 : 3.968227 3.992441 0.01664 0.024448
67 : 0.499921 2.165185 0.011889 0.047574
68 : 4.614725 9.682974 0.022211 0.068632
69 : 6.246511 5.120447 0.075486 0.026649
70 : 4.219787 1.951842 0.042239 0.048017
71 : 9.278076 6.623523 0.020832 0.059832
72 : 5.822443 7.805855 0.031071 0.027305
73 : 9.299296 3.27524 0.058669 0.041962
74 : 0.832264 7.853692 0.05893 0.010674
75 : 7.456638 3.723345 0.067827 0.035608
76 : 5.003914 0.778012 0.052309 0.042237
77 : 0.711022 0.153425 0.070268 0.039675
78 : 0.525598 3.726761 0.049678 0.055417
79 : 5.602747 5.360683 0.059051 0.02493
80 : 7.675417 0.738126 0.049733 0.010702
81 : 6.614194 4.757516 0.07705 0.054632
82 : 2.041962 9.248816 0.043981 0.07369
83 : 9.81527 5.234548 0.059332 0.05636
84 : 9.187213 9.489995 0.06836 0.021568
85 : 3.712157 0.229175 0.022158 0.025595
86 : 4.138994 4.075445 0.052009 0.035041
87 : 3.418835 0.362081 0.048475 0.067456
88 : 2.038788 5.912814 0.056667 0.057826
89 : 0.444723 4.460635 0.079293 0.022581
90 : 7.23958 5.620894 0.012615 0.076567
91 : 7.883988 6.1823 0.051406 0.051976
92 : 4.994432 1.426403 0.034886 0.012974
93 : 9.585947 1.019889 0.018899 0.047764
94 : 1.066503 4.709018 0.041297 0.04065
95 : 1.569363 6.283638 0.073735 0.060865
96 : 6.196947 2.089843 0.037892 0.063995
97 : 1.173992 1.279617 0.055712 0.047853
98 : 4.833918 3.654536 0.022488 0.043831
99 : 7.372558 0.569615 0.034645 0.021467
100 : 1.608903 0.829417 0.01013 0.020164
101 : 2.586715 4.917816 0.036109 0.071364
102 : 4.611764 9.911179 0.060265 0.054307
103 : 0.732544 1.874124 0.068868 0.024991
104 : 4.052863 6.458924 0.045937 0.037785
