Circles: 1
# ID : center_x center_y radius
0 : 7.063988 4.447626 0.106335
Lines: 8
# ID : x1 y1 x2 y2
1 : 0.356254 7.564193 1.395819 9.525576
2 : 6.360542 1.620542 6.448265 5.987123
3 : 5.583344 9.250121 6.774175 3.558721
4 : 1.421407 9.591532 4.88764 6.563896
5 : 9.396076 9.845763 7.745748 2.780815
6 : 7.155687 5.633244 7.930033 0.066449
7 : 6.813345 1.891928 7.638738 4.272315
8 : 4.802687 8.758811 9.339375 6.882154
Boxes: 1
# ID : center_x center_y width height
9 : 8.37127 5.925423 0.8656 0.297582
