Circles: 5
# ID : center_x center_y radius
0 : 9.13657 8.331484 0.376217
1 : 8.604017 7.711794 0.145203
2 : 7.256777 4.641668 0.162758
3 : 4.013475 4.470802 0.084624
4 : 1.602983 1.333255 0.410456
Lines: 5
# ID : x1 y1 x2 y2
5 : 6.327184 0.97858 6.994629 8.731682
6 : 3.383007 8.1981 5.461562 2.476196
7 : 7.428545 1.559427 9.286919 5.24291
8 : 7.582988 7.277004 4.608113 8.5544
9 : 3.806123 9.504871 8.360798 9.924622
Boxes: 10
# ID : center_x center_y width height
10 : 3.128703 4.111643 0.466935 0.28382
11 : 6.50286 3.55723 0.653914 0.23361
12 : 3.506991 1.997403 0.083462 0.99183
13 : 4.539644 7.793161 0.96753 0.57748
14 : 9.516747 7.969919 0.091277 0.300196
15 : 3.54481 7.621148 0.869966 0.51128
16 : 7.712894 0.605967 0.476446 0.535234
17 : 5.547921 3.905568 0.133186 0.711993
18 : 7.017114 6.642792 0.563503 0.698888
19 : 8.516737 0.792394 0.787471 0.072621
