Circles: 500
# ID : center_x center_y radius
0 : 2.703604 9.468687 0.053406
1 : 6.81111 4.325278 0.124104
2 : 1.169726 9.582953 0.060373
3 : 3.055409 2.253879 0.064125
4 : 6.384443 3.337823 0.181987
5 : 7.332422 6.023301 0.104321
6 : 4.971862 2.080563 0.170382
7 : 4.224834 6.788589 0.137206
8 : 1.338876 2.497108 0.183345
9 : 8.472909 4.172328 0.114684
10 : 5.743628 3.145196 0.069528
11 : 0.054221 1.291949 0.106861
12 : 1.205258 6.76999 0.098243
13 : 4.250733 2.072229 0.169301
14 : 3.238431 8.314869 0.170152
15 : 6.345654 1.40776 0.053348
16 : 1.145994 0.713687 0.124127
17 : 6.486856 4.596928 0.058521
18 : 7.434661 4.351822 0.065983
19 : 8.661205 8.867185 0.061664
20 : 8.646857 7.718669 0.165089
21 : 3.221733 7.672303 0.175934
22 : 4.895245 4.373671 0.174371
23 : 3.456721 7.109145 0.100912
24 : 5.181488 5.265473 0.152108
25 : 8.709389 8.70137 0.108931
26 : 9.809414 6.811458 0.052778
27 : 2.543767 3.098666 0.189241
28 : 4.8329 6.55658 0.146597
29 : 4.109762 2.775349 0.129451
30 : 2.144651 5.146844 0.095248
31 : 9.143443 3.836485 0.19705
32 : 4.415313 8.164778 0.131344
33 : 3.270648 9.787392 0.150466
34 : 9.26123 3.493971 0.097549
35 : 6.965166 3.535933 0.176435
36 : 6.66029 9.499906 0.123659
37 : 1.950988 0.259734 0.13025
38 : 7.166439 6.345206 0.108103
39 : 2.740678 2.570476 0.079868
40 : 5.90534 1.046954 0.142344
41 : 7.871075 9.163654 0.103125
42 : 5.120611 2.102306 0.101862
43 : 9.24393 2.734648 0.068503
44 : 2.295021 2.408813 0.123917
45 : 1.378811 3.672213 0.1833
46 : 8.146615 0.156341 0.16443
47 : 4.867813 3.340102 0.156471
48 : 6.706346 3.559835 0.052212
49 : 8.741845 4.186003 0.112221
50 : 6.23736 1.301299 0.063928
51 : 5.600219 2.872968 0.139676
52 : 9.515823 2.425733 0.18931
53 : 2.235066 4.758293 0.089419
54 : 7.222475 8.131977 0.111992
55 : 9.635443 2.887495 0.051898
56 : 7.108865 8.702694 0.142546
57 : 5.211136 3.572126 0.150749
58 : 5.806718 3.503965 0.067153
59 : 9.373944 7.875651 0.140877
60 : 4.148594 5.415656 0.063904
61 : 9.514069 2.955931 0.054845
62 : 8.174607 0.619042 0.113507
63 : 7.354316 3.981852 0.09477
64 : 2.984085 3.522474 0.083433
65 : 0.730662 0.240175 0.149243
66 : 8.097458 3.979132 0.159025
